Farmer_ID,Name,Age,Gender,Education_Level,Marital_Status,Household_Size,Offfarm_Income,Region,State,Has_Bank_Account,Owns_Smartphone,Uses_Mobile_Money
FARMER_00001,Charles Lane,58,Male,0,Married,5,30000,North East,Yobe,Yes,Yes,Yes
FARMER_00002,Marie Johnson,24,Female,9,Married,3,171000,North West,Kaduna,No,No,No
FARMER_00003,Jasmine Gonzalez,59,Female,0,Married,10,0,South West,Ondo,No,Yes,Yes
FARMER_00004,Karen Clements,64,Female,18,Married,10,0,North West,Katsina,No,Yes,Yes
FARMER_00005,Theresa Morales,34,Female,16,Widowed,6,0,North West,Katsina,Yes,No,No
FARMER_00006,Michael Holden,33,Male,0,Married,5,48000,North East,Bauchi,Yes,No,No
FARMER_00007,Jeffrey Wiggins,27,Male,3,Divorced,5,0,South East,Anambra,No,Yes,Yes
FARMER_00008,Deborah Fields,52,Female,12,Widowed,6,0,North West,Zamfara,Yes,No,No
FARMER_00009,Paul Sanchez,25,Male,16,Married,3,0,South West,Lagos,Yes,Yes,Yes
FARMER_00010,Caleb Mccarthy,60,Male,3,Married,3,54000,North Central,Plateau,Yes,No,No
FARMER_00011,Megan Phillips,38,Female,12,Married,5,0,South West,Ekiti,Yes,No,No
FARMER_00012,Albert Martinez,60,Male,3,Married,7,145000,South East,Imo,No,Yes,Yes
FARMER_00013,Nicole Gonzalez,69,Female,12,Widowed,5,251000,South West,Osun,No,No,No
FARMER_00014,Kevin Juarez,52,Male,6,Married,9,84000,North Central,Niger,No,No,No
FARMER_00015,Janet Soto,62,Female,12,Married,3,0,South East,Ebonyi,No,Yes,Yes
FARMER_00016,Carol Bond,58,Female,12,Married,10,0,North West,Kaduna,No,No,No
FARMER_00017,Antonio Valdez,30,Male,3,Married,6,0,North Central,Plateau,No,Yes,No
FARMER_00018,Alyssa Singh,66,Female,18,Divorced,3,238000,South East,Abia,No,Yes,Yes
FARMER_00019,Christopher Warren,58,Male,3,Single,2,58000,South East,Abia,Yes,No,No
FARMER_00020,Brooke Moreno,35,Female,6,Married,5,0,North West,Jigawa,Yes,Yes,Yes
FARMER_00021,Dave Morris,53,Male,6,Married,7,127000,North West,Sokoto,No,Yes,No
FARMER_00022,Catherine Suarez,63,Female,9,Married,9,0,South East,Imo,Yes,Yes,Yes
FARMER_00023,Sarah Douglas,33,Female,3,Married,2,97000,North Central,Nasarawa,Yes,No,No
FARMER_00024,Carl Howard,49,Male,12,Married,6,0,South South,Bayelsa,Yes,Yes,Yes
FARMER_00025,Gabrielle Wood,47,Female,12,Married,9,0,North West,Katsina,No,Yes,Yes
FARMER_00026,Kenneth Richardson,30,Male,12,Widowed,3,0,North West,Kaduna,No,Yes,No
FARMER_00027,Steven Hernandez,24,Male,14,Single,2,507000,North East,Yobe,Yes,No,No
FARMER_00028,Nancy Rangel,52,Female,12,Married,2,172000,South East,Imo,Yes,Yes,Yes
FARMER_00029,Shannon Scott,45,Female,14,Married,9,430000,North West,Kebbi,Yes,No,No
FARMER_00030,Stephen Garcia,54,Male,0,Married,3,53000,North East,Borno,No,No,No
FARMER_00031,Vanessa Ortiz,49,Female,6,Married,10,93000,North West,Kano,No,No,No
FARMER_00032,Mackenzie Owen,38,Female,9,Married,5,181000,North West,Kebbi,Yes,No,No
FARMER_00033,Brent Adams,59,Male,0,Married,9,0,North Central,FCT,No,Yes,No
FARMER_00034,Gary Sosa,65,Male,6,Divorced,6,111000,North West,Sokoto,Yes,Yes,Yes
